University,Department,Overall Pay,LW Ratio,Academic Year,Field,School
University of California - Berkeley,Computational Biology,46126.0,1.66,2024-2025,STEM,
University of Pennsylvania,Sociology,41050.0,1.7,2024-2025,Social Science,Ivy
Northern Arizona University (NAU),Applied Linguistics,19460.0,0.83,2024-2025,Social Science,
George Mason University (GMU),Cybersecurity Engineering,33830.0,1.12,2024-2025,STEM,
North Carolina State University (NCSU),Math,18775.0,0.82,2023-2024,STEM,
McGill University,Electrical Engineering,30040.0,,2023-2024,STEM,
Dartmouth College,Psychological and Brain Sciences,46940.0,1.89,2024-2025,Social Science,Ivy
Texas A&amp;M; University - College Station,Aerospace Engineering,22500.0,,2024-2025,STEM,
University of California - Irvine (UCI),Computer Science,39000.0,1.33,2023-2024,STEM,
University of California - Los Angeles (UCLA),Computer Science,15000.0,0.58,2024-2025,STEM,
University of Mississippi (Ole Miss),Physics,19780.0,0.91,2023-2024,STEM,
New York University (NYU),Computer Science,45000.0,1.51,2024-2025,STEM,
University of Illinois - Urbana- Champaign (UIUC),Agricultural and Consumer Economics,29207.0,1.33,2024-2025,Social Science,
University of Pennsylvania,Ancient History,41800.0,1.73,2024-2025,Humanities,Ivy
University of California - Irvine (UCI),Physics,38000.0,1.3,2024-2025,STEM,
University of Miami (UM),Communication,36225.0,1.52,2024-2025,Social Science,
University of Notre Dame (ND),Aerospace and Mechanical Engineering,40000.0,1.95,2024-2025,STEM,
University of Illinois - Urbana- Champaign (UIUC),Chemical Engineering,35500.0,1.61,2024-2025,STEM,
University of Pennsylvania,Bioengineering ,41800.0,1.73,2024-2025,STEM,Ivy
New York University (NYU),Global Public Health PhD,34000.0,1.14,2025-2026,Social Science,
University of Georgia (UGA),Biomedical engineering ,25900.0,1.22,2024-2025,STEM,
University of Texas - Austin (UT),African & African Diaspora Studies,28000.0,1.23,2024-2025,Humanities,
University of South Carolina (USC),School of Medicine,28000.0,1.24,2024-2025,STEM,
University of Alabama - Huntsville (UAH),Physics,19500.0,0.92,2022-2023,STEM,
North Carolina State University (NCSU),Physics,34180.0,1.5,2024-2025,STEM,
University of Wisconsin - Madison (UW),Chemistry,33135.0,1.45,2024-2025,STEM,
Purdue University - West Lafayette,Industrial and Molecular Pharmaceutics,33000.0,1.56,2024-2025,STEM,
University of California - Irvine (UCI),Mathematical Computational Systems Biology,26180.0,0.9,2024-2025,STEM,
Stanford University (SU),Statistics ,53600.0,1.87,2024-2025,STEM,
Western New England University,Industrial Engineering and Engineering Management,23000.0,,2022-2023,Business,
Rice University,Anthropology,33270.0,1.52,2022-2023,Humanities,
University of Texas - Dallas (UTD),Mechanical Engineering,25800.0,1.2,2024-2025,STEM,
University of Delaware (UD),Chemical and Biomolecular Engineering,35000.0,1.38,2023-2024,STEM,
University of Minnesota - Twin Cities (UM),Chemical Engineering and Material Science,35000.0,1.53,2024-2025,STEM,
University of North Carolina - Chapel Hill (UNC),City & Regional Planning,20600.0,0.93,2024-2025,Social Science,
University of North Carolina - Chapel Hill (UNC),City & Regional Planning,20600.0,0.93,2024-2025,Social Science,
University of Wisconsin - Madison (UW),Political Science,29745.0,1.3,2024-2025,Social Science,
Clemson University (CU),Computer Science,24900.0,1.2,2023-2024,STEM,
University of Utah,Political Science,35000.0,1.57,2024-2025,Social Science,
University of Oklahoma (OU),Economics,23000.0,1.14,2024-2025,Social Science,
Ohio State University (OSU),Business,33400.0,1.66,2024-2025,Business,
Case Western Reserve University,Molecular Medicine,37000.0,1.85,2024-2025,STEM,
Purdue University - West Lafayette,Borch Department of Medicinal Chemistry and Molecular Pharmacology,33000.0,1.56,2024-2025,STEM,
North Carolina State University (NCSU),Chemistry,20000.0,0.88,2025-2026,STEM,
Texas A&amp;M; University - College Station,Chemical Engineering ,32000.0,,2024-2025,STEM,
Harvard University (HU),Population Health Sciences,50000.0,1.75,2024-2025,STEM,
Purdue University - West Lafayette,Political Science,44000.0,2.08,2024-2025,Social Science,
Northeastern University (NU),Economics ,41000.0,1.43,2024-2025,Social Science,
Stony Brook University - SUNY,Materials Science & Engineering,37000.0,1.32,2024-2025,STEM,
Washington University in St. Louis (Wash U),Material science ,38500.0,1.86,2024-2025,STEM,
George Washington University (GW),Human Paleobiology,29840.0,0.97,2024-2025,STEM,
Old Dominion University (ODU),Computer Science,23000.0,0.87,2024-2025,STEM,
University of Arizona (U of A),Systems Engineering,30679.0,1.48,2024-2025,STEM,
University of California - Irvine (UCI),Culture and Theory,30000.0,1.03,2024-2025,Humanities,
Wayne State University,Mechanical engineering ,22000.0,1.05,2023-2024,STEM,
Johns Hopkins University (JHU),School of Medicine,48000.0,1.87,2024-2025,STEM,
Auburn University (AU),Pharmaceutical Sciences,17000.0,0.78,2023-2024,STEM,
University of Wisconsin - Madison (UW),Mechanical Engineering,32000.0,1.4,2023-2024,STEM,
University of Utah,physics ,33000.0,1.48,2024-2025,STEM,
Vanderbilt University,Biomedical Engineering,40500.0,1.76,2023-2024,STEM,
Mayo Clinic Graduate School of Biomedical Sciences,Immunology,44700.0,,2024-2025,STEM,
Temple University (TU),Clinical Psychology,30160.0,1.25,2023-2024,Social Science,
University of Houston (UH),physics,29000.0,1.33,2024-2025,STEM,
University of Maryland - College Park (UMD),Nutrition and Food Science ,33000.0,1.09,2024-2025,Social Science,
North Carolina State University (NCSU),Biomedical Sciences,32500.0,1.42,2024-2025,STEM,
