University,Department,Overall Pay,LW Ratio,Academic Year,Field,School
Virginia Commonwealth University (VCU),Neuroscience,35000.0,1.41,2023-2024,STEM,
University of Houston (UH),Health and Human Performance,20000.0,0.92,2022-2023,STEM,
Michigan State University (MSU),Genetics and Genome Sciences,35515.0,1.73,2024-2025,STEM,
University of Rochester (UR),Philosophy,22500.0,1.05,2024-2025,Humanities,
University of Connecticut (UConn),Social psychology,32881.0,1.35,2024-2025,Social Science,
Johns Hopkins University (JHU),Cellular and molecular medicine ,48000.0,1.87,2024-2025,STEM,
Vanderbilt University,economics ,36500.0,1.59,2024-2025,Social Science,
University of Illinois - Urbana- Champaign (UIUC),Molecular and cellular biology,30500.0,1.39,2023-2024,STEM,
Harvard University (HU),Psychology,60000.0,2.09,2024-2025,Social Science,
Vanderbilt University,Electrical and Computer Engineering,40000.0,1.74,2024-2025,STEM,
George Mason University (GMU),Computer Science ,29000.0,0.96,2024-2025,STEM,
Stony Brook University - SUNY,Geology,33000.0,1.18,2024-2025,STEM,
University of Eastern Finland ,Technical physics ,31010.0,,2024-2025,STEM,
Rice University,History,31314.0,1.43,2023-2024,Humanities,
University of Utah,Electrical Engineering,32000.0,1.44,2024-2025,STEM,
Columbia University (CU),Biomedical Engineering,48000.0,1.61,2024-2025,STEM,Ivy
University of Kansas (KU),Ecology and Evolutionary Biology,24000.0,1.17,2024-2025,STEM,
University of Arkansas - Fayetteville,Chemical engineering ,45000.0,2.25,2024-2025,STEM,
Ohio State University (OSU),Chemical engineering ,34431.0,1.72,2024-2025,STEM,
George Mason University (GMU),Computer Science Department,34358.0,1.14,2024-2025,STEM,
University of Chicago (UC),Pritzker School of Molecular Engineering ,53000.0,2.18,2024-2025,STEM,
Duke University (DU),biomedical engineering,40000.0,1.8,2024-2025,STEM,
Rochester Institute of Technology (RIT),Mechanical and Industrial Engineering PhD,31000.0,1.45,2024-2025,STEM,
Brandeis University,Physics,38000.0,1.36,2024-2025,STEM,
"University of Geneva, Switzerland",Physics,57435.0,,2024-2025,STEM,
Baylor College of Medicine,Genetics ,38550.0,1.76,2024-2025,STEM,
University of Wisconsin - Madison (UW),School of Journalism and Mass Communication,23227.0,1.02,2023-2024,Social Science,
University of Colorado - Boulder (UCB),Economics,30125.0,1.18,2024-2025,Social Science,
Harvard University (HU),Comparative Literature,50000.0,1.75,2024-2025,Humanities,
University of Hawaii - Manoa (UH),Second Language Studies,23501.0,0.77,2024-2025,Humanities,
University of California - Berkeley,Health Policy,36000.0,1.3,2024-2025,Social Science,
Princeton University,Economics,54920.0,2.16,2024-2025,Social Science,Ivy
Montana State University (MSU),Physics ,24100.0,1.15,2023-2024,STEM,
North Carolina State University (NCSU),Center for Geospatial Analytics,28500.0,1.25,2024-2025,STEM,
Northwestern University (NU),Communication ,45000.0,1.85,2025-2026,Social Science,
Tufts University (TU),Biomedical Engineering,42750.0,1.53,2024-2025,STEM,
Michigan State University (MSU),Cell and molecular biology ,34900.0,1.7,2022-2023,STEM,
Drexel University (DU),Materials Science & Engineering,35000.0,1.45,2023-2024,STEM,
Louisiana State University - Baton Rouge,Civil and Environmental Engineering ,27667.0,1.27,2023-2024,STEM,
Stanford University (SU),English,52294.0,1.82,2023-2024,Humanities,
SUNY Downstate Medical Center,Neural and Behavioral Sciences,39028.0,1.31,2024-2025,STEM,
University of Utah,biomedical informatics,40000.0,1.8,2022-2023,STEM,
University of Texas Southwestern Medical Center - Dallas,Public Health,37000.0,1.72,2025-2026,Social Science,
the ohio state university,stat,30000.0,,2023-2024,STEM,
Stoneybrook university ,Biology ,36000.0,,2024-2025,STEM,
University of Pennsylvania,Cell and Molecular Biology ,41500.0,1.72,2024-2025,STEM,Ivy
Lehigh University,Chemical and Biomolecular Engineering,33360.0,1.49,2023-2024,STEM,
University of North Carolina - Chapel Hill (UNC),English and Comparative Literature,25000.0,1.12,2024-2025,Humanities,
Columbia University (CU),History,34571.0,1.16,2024-2025,Humanities,Ivy
Texas State University - San Marcos,Computer Science,27300.0,,2023-2024,STEM,
University of Colorado - Boulder (UCB),Biochemistry ,40400.0,1.58,2024-2025,STEM,
University of Colorado - Boulder (UCB),Linguistics,21800.0,0.85,2023-2024,Social Science,
Loyola University Chicago (LUC),Psychology,26605.0,1.1,2024-2025,Social Science,
Pennsylvania State University (Penn State),Engineering Science and Mechanics,25065.0,1.12,2024-2025,STEM,
Cornell University (CU),Ecology and Evolutionary Biology,43326.0,1.79,2023-2024,STEM,Ivy
Stevens Institute of Technology,Ocean Engineering,35200.0,1.32,2023-2024,STEM,
Arizona State University (ASU),School of Human Evolution and Social Change,24000.0,1.08,2023-2024,Social Science,
University of Toledo,Clinical Psychology,17000.0,0.91,2023-2024,Social Science,
Yale University (YU),Microbiology,50000.0,2.02,2023-2024,STEM,Ivy
University of Texas - Dallas (UTD),Chemistry ,28800.0,1.34,2023-2024,STEM,
University of Wisconsin - Madison (UW),Political Science,30300.0,1.33,2024-2025,Social Science,
Virginia Tech,Computer Science,21400.0,1.02,2023-2024,STEM,
Cornell University (CU),Computational Biology,42926.0,1.77,2023-2024,STEM,Ivy
University of New Mexico (UNM),Psychology,20500.0,0.98,2024-2025,Social Science,
Temple University (TU),Mathematics,33033.0,1.37,2023-2024,STEM,
University of Illinois - Urbana- Champaign (UIUC),Agricultural and Biological Engineering,44000.0,2.0,2024-2025,STEM,
Brown University,Humanities,53762.0,2.36,2022-2023,Humanities,Ivy
University of Rochester,Mechanical Engineering,33500.0,,2024-2025,STEM,
Northwestern University (NU),Clinical Psychology,35000.0,1.44,2024-2025,Social Science,
University of Maryland - College Park (UMD),Bioengineering ,41250.0,1.36,2024-2025,STEM,
Temple University (TU),History,25800.0,1.07,2024-2025,Humanities,
University of Texas - Austin (UT),Mechanical Engineering,40000.0,1.75,2024-2025,STEM,
University of Rochester (UR),Biomedical Engineering,33536.0,1.57,2024-2025,STEM,
Rutgers the State University of New Jersey - New Brunswick,Molecular Biology,41854.0,1.62,2024-2025,STEM,
University of Florida (UF),chemistry,32500.0,1.43,2024-2025,STEM,
University of Texas - Austin (UT),Geoscience,36000.0,1.58,2024-2025,STEM,
Texas A&amp;M; University - College Station,Electrical and Computer Engineering,27000.0,,2024-2025,STEM,
University at Buffalo - SUNY,Exercise and Nutrition Sciences,40000.0,1.9,2024-2025,Social Science,
University at Buffalo - SUNY,Exercise and Nutrition Sciences,40000.0,1.9,2024-2025,Social Science,
Texas Woman&#39;s University,educatin,52000.0,,2022-2023,Social Science,
Syracuse University,Psychology,22000.0,1.03,2023-2024,Social Science,
University of Michigan - Ann Arbor (UM),Psychology,30000.0,1.3,2025-2026,Social Science,
University of Michigan - Ann Arbor (UM),Psychology,30000.0,1.3,2025-2026,Social Science,
Cornell University (CU),Engineering ,18000.0,0.74,2024-2025,STEM,Ivy
Oregon State University (OSU),Mathematics ,19593.0,0.94,2024-2025,STEM,
University of Minnesota - Twin Cities (UM),Family Social Science ,16000.0,0.7,2024-2025,Social Science,
South Dakota State University (SDSU),mechanical engineering,22300.0,1.18,2023-2024,STEM,
Vanderbilt University,Community Research and Action,34000.0,1.48,2024-2025,Social Science,
Kent State University (KSU),Philosophy,15500.0,0.78,2024-2025,Humanities,
University of Rhode Island (URI),computer science,23000.0,1.01,2024-2025,STEM,
University of South Carolina (USC),Chemistry ,27000.0,1.2,2023-2024,STEM,
Temple University (TU),Chemistry,34667.0,1.44,2024-2025,STEM,
Temple University (TU),Mechanical Engineering ,33667.0,1.4,2023-2024,STEM,
Louisiana State University - Baton Rouge,Chemical Engineering,30667.0,1.41,2024-2025,STEM,
Louisiana State University - Baton Rouge,Chemical Engineering,30667.0,1.41,2023-2024,STEM,
University of South Carolina (USC),Statistics,20000.0,0.89,2024-2025,STEM,
University of Southern California (USC),Linguistics,40000.0,1.55,2024-2025,Social Science,
University at Albany - SUNY,Political Science ,21000.0,0.92,2024-2025,Social Science,
University of Texas - Dallas (UTD),Econ,26400.0,1.22,2024-2025,Social Science,
Purdue University - West Lafayette,Chemistry ,29700.0,1.4,2023-2024,STEM,
University of Maine,Earth and Climate Sciences,26000.0,1.21,2022-2023,STEM,
University of California - Irvine (UCI),Computer Science,34000.0,1.16,2024-2025,STEM,
University of California - Irvine (UCI),Computer ,34000.0,1.16,2022-2023,STEM,
University of Colorado - Boulder (UCB),Economics,30135.0,1.18,2024-2025,Social Science,
University of California - San Francisco (UCSF),Medical Anthropology,35000.0,1.17,2022-2023,Humanities,
University of Florida (UF),College of Education,24500.0,1.08,2024-2025,Social Science,
George Washington University (GW),Public Policy & Public Administration ,32500.0,1.05,2023-2024,Social Science,
Medical College of Wisconsin,biomed,33000.0,1.54,2024-2025,STEM,
University of Cincinnati (UC),Biomedical Informatics,33000.0,1.71,2024-2025,STEM,
University at Albany - SUNY,Sociology ,20400.0,0.9,2023-2024,Social Science,
Massachusetts Institute of Technology (MIT),Economics,54210.0,1.94,2024-2025,Social Science,
University of Colorado - Boulder (UCB),Political Science,24600.0,0.96,2024-2025,Social Science,
Rice University,physics and astronomy,36270.0,1.66,2024-2025,STEM,
Duke University (DU),Mechenical Engineering and Material Science,40000.0,1.8,2024-2025,STEM,
University of Texas - Dallas (UTD),Bioengineering,30000.0,1.39,2024-2025,STEM,
University of Michigan - Ann Arbor (UM),Mathematics,41307.0,1.79,2024-2025,STEM,
Oregon State University (OSU),Robotics,21295.0,1.02,2024-2025,STEM,
Northern Arizona University (NAU),Earth Science and Environmental Sustainability,26075.0,1.11,2024-2025,STEM,
University at Albany - SUNY,Biology,31500.0,1.38,2024-2025,STEM,
Montclair State University,Environmental Science and Management,22000.0,,2023-2024,Business,
University of Texas - Dallas (UTD),Marketing,39300.0,1.82,2024-2025,Business,
University of Southern California (USC),Education,41000.0,1.58,2024-2025,Social Science,
Rice University,Anthropology ,33270.0,1.52,2024-2025,Humanities,
University of Denver (DU),Social Work,26100.0,1.16,2023-2024,Social Science,
Indiana University,geography,23000.0,1.07,2024-2025,STEM,
Tulane University (TU),Economics,25000.0,1.08,2023-2024,Social Science,
Georgia Institute of Technology (Georgia Tech),Mechanical Engineering,27165.0,1.17,2023-2024,STEM,
Tufts University (TU),Graduate School of Biomedical Sciences,42875.0,1.54,2024-2025,STEM,
Stony Brook University - SUNY,Civil Engineering,30957.0,1.11,2024-2025,STEM,
Tufts University (TU),Graduate School of Biomedical Sciences ,41000.0,1.47,2023-2024,STEM,
University of Oklahoma (OU),Psychology,22838.0,1.14,2022-2023,Social Science,
University of California - Berkeley,Bioengineering,49700.0,1.79,2024-2025,STEM,
New York University (NYU),higher education and student affairs,16000.0,0.54,2024-2025,Social Science,
Indiana University- Purdue University - Indianapolis (IUPUI),Medical Science,34000.0,1.64,2022-2023,STEM,
Indiana University,Medical Science,25000.0,1.16,2022-2023,STEM,
Indiana University- Purdue University - Indianapolis (IUPUI),Communication ,16000.0,0.77,2022-2023,Social Science,
Boston University (BU),Linguistics,28000.0,0.98,2022-2023,Social Science,
Rochester Institute of Technology (RIT),Computing and Information Sciences,21120.0,0.99,2024-2025,STEM,
New Jersey Institute of Technology,data science,39192.0,1.45,2024-2025,STEM,
University of Utah,Materials Science and Engineering,31000.0,1.39,2023-2024,STEM,
University of Oklahoma (OU),Economics,23000.0,1.14,2024-2025,Social Science,
Clemson University (CU),Computer Science,25000.0,1.2,2023-2024,STEM,
Louisiana State University - Baton Rouge,Mathematics,29800.0,1.37,2023-2024,STEM,
Johns Hopkins University (JHU),Economics,34500.0,1.34,2023-2024,Social Science,
"Colorado, Boulder",Economics,30135.0,,2024-2025,Social Science,
University of Chicago (UC),Data Science,45000.0,1.85,2024-2025,STEM,
University of California - San Diego (UCSD),Political Science,44100.0,1.67,2024-2025,Social Science,
University of Illinois - Urbana- Champaign (UIUC),Finance,37000.0,1.68,2024-2025,Business,
Miami University (MU),English,23956.0,1.24,2023-2024,Humanities,
Duke,School of medicine,38600.0,,2023-2024,STEM,
Tufts University (TU),Electrical and Computer Engineering,44000.0,1.58,2023-2024,STEM,
University of Houston (UH),geology,25000.0,1.14,2023-2024,STEM,
University of Idaho (UI),Statistical Science,30800.0,1.48,2023-2024,STEM,
University of Massachusetts - Boston (UMB),Computer Science,17000.0,0.59,2025-2026,STEM,
Yale University (YU),Department of Mathematics,50538.0,2.05,2024-2025,STEM,Ivy
Boston College (BC),Physics,33000.0,1.18,2023-2024,STEM,
University of Texas - Austin (UT),Civil Engineering,34000.0,1.49,2024-2025,STEM,
Texas A&amp;M; University - College Station,Civil Engineering,27000.0,,2024-2025,STEM,
Purdue University - West Lafayette,Biological Sciences,35000.0,1.65,2024-2025,STEM,
Georgia Institute of Technology (Georgia Tech),Mechanical Engineering,33000.0,1.42,2024-2025,STEM,
University of Chicago (UC),History,45000.0,1.85,2024-2025,Humanities,
Rice University,Bioengineering ,38000.0,1.74,2024-2025,STEM,
Arizona State University (ASU),Economics PhD,37000.0,1.67,2024-2025,Social Science,
University of Alabama - Birmingham (UAB),Economics ,30000.0,1.39,2023-2024,Social Science,
Tufts University (TU),Nutrition,31000.0,1.11,2023-2024,Social Science,
University of Michigan - Ann Arbor (UM),nursing,37000.0,1.6,2023-2024,STEM,
Georgia Institute of Technology (Georgia Tech),PhD in Robotics,30819.0,1.32,2024-2025,STEM,
Vanderbilt University,MBA,41000.0,1.79,2024-2025,Business,
University of North Carolina - Chapel Hill (UNC),Political Science,28500.0,1.28,2024-2025,Social Science,
University of Texas - Austin (UT),Biomedical Engineering,39990.0,1.75,2024-2025,STEM,
University of Texas Southwestern Medical Center - Dallas,Basic Biomedical Sciences,37000.0,1.72,2023-2024,STEM,
University of Wisconsin - Madison (UW),Cellular and Molecular Biology ,31500.0,1.38,2024-2025,STEM,
University of Texas - Austin (UT),Cell and Molecular Biology ,41000.0,1.8,2024-2025,STEM,
Northwestern University (NU),Political Science,45000.0,1.85,2024-2025,Social Science,
Georgia State University (GSU),political science,17800.0,0.76,2024-2025,Social Science,
Cornell University (CU),Government,41000.0,1.69,2024-2025,Social Science,Ivy
University of California - Davis (UCD),Anthropology,38000.0,1.58,2024-2025,Humanities,
Pennsylvania State University (Penn State),Materials Science and Engineering,57000.0,2.54,2023-2024,STEM,
University of Wisconsin - Madison (UW),Sociology,32396.0,1.42,2024-2025,Social Science,
University of California - Berkeley,EECS,32000.0,1.15,2024-2025,STEM,
University of California - Irvine (UCI),Political Science,38000.0,1.3,2024-2025,Social Science,
Massachusetts Institute of Technology (MIT),Political Science,42694.0,1.53,2023-2024,Social Science,
Pennsylvania State University (Penn State),mechanical engineering,26550.0,1.18,2024-2025,STEM,
University of Michigan - Ann Arbor (UM),Civil  and Environmental Engineering,38970.0,1.69,2024-2025,STEM,
Stanford University (SU),chemistry,63000.0,2.19,2023-2024,STEM,
University of Massachusetts - Amherst (UMass),Chemical Engineering,35000.0,1.53,2024-2025,STEM,
University of Chicago (UC),Political Science,50860.0,2.1,2023-2024,Social Science,
Boston University (BU),Political Science,25885.0,0.9,2022-2023,Social Science,
George Washington University (GW),Political Science,35000.0,1.13,2023-2024,Social Science,
North Dakota State University (NDSU),Industrial and Manufacturing Engineering ,15400.0,0.8,2023-2024,STEM,
Rutgers the State University of New Jersey - New Brunswick,Mathematics,36395.0,1.41,2024-2025,STEM,
Purdue University - West Lafayette,Political Science,28400.0,1.34,2022-2023,Social Science,
University of California - Berkeley,Marketing,41000.0,1.48,2023-2024,Business,
Colorado State University (CSU),Agricultural Biology,20700.0,0.92,2023-2024,STEM,
University of Chicago (UC),Molecular Engineering,45000.0,1.85,2024-2025,STEM,
Columbia University (CU),Earth and Environmental Engineering,46630.0,1.57,2023-2024,STEM,Ivy
University of Connecticut (UConn),Educational Psychology,23000.0,0.95,2024-2025,Social Science,
University of Southern California (USC),Electrical Engineering,43000.0,1.66,2024-2025,STEM,
University of Southern California (USC),Craniofacial Biology,41800.0,1.62,2024-2025,STEM,
University of California - Irvine (UCI),Criminology,32495.0,1.11,2022-2023,Social Science,
Pennsylvania State University (Penn State),Criminology,27350.0,1.22,2022-2023,Social Science,
University of Maryland - College Park (UMD),Criminology,28817.0,0.95,2022-2023,Social Science,
University of Texas - Austin (UT),Biomedical engineering,40000.0,1.75,2023-2024,STEM,
